ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,Yes,0,0.1,0.2,0.3,1,1.1,1.2,1.3,1.4,0.4,1.5,0.5,1.6,0.6,0.7,0.8,0.9,0.10,0.11,0.12,1.7,1.8,1.9,1.10,0.13,0.14,1.11,0.15,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,0.16,0.17,0.18,0.19,0.20,0.21,0.22,1.21,1.22,1.23,1.24,0.23,0.24,0.25,1.25,1.26,0.26,1.27,1.28,1.29,0.27,0.28,1.30,0.29,0.30,0.31,0.32,0.33
-0.76,-1.22,-0.42,18.48,-105.0,-20.65,79,81,96,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.83,-1.41,-0.41,92.47,222.53,-191.73,74,75,91,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.78,0.21,1.7,484.05,341.88,-816.55,72,70,85,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.07,1.36,0.32,-66.78,14.14,128.94,72,71,87,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2,0.17,1.33,-152.81,-99.96,350.7,80,80,94,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.36,-0.45,1.19,-21.14,-150.36,191.94,73,69,83,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19,-0.16,0.58,-54.53,-37.94,65.1,74,71,85,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16,-0.52,0.83,-114.17,39.34,22.4,79,79,94,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1,-0.62,0.13,219.38,200.2,-166.88,74,72,86,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.19,0.05,1.1,57.82,176.4,25.34,72,71,84,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17,-0.33,2.05,44.1,-5.32,-62.86,81,81,95,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,-0.51,1.53,22.4,-226.24,-177.66,78,77,92,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.72,0.05,0.71,33.95,-141.19,-324.03,73,70,84,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,0.0,1.2,118.58,-102.9,-153.86,80,79,96,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,0.41,0.2,-156.17,-52.08,221.06,75,74,88,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,0.41,0.2,-156.17,-52.08,221.06,75,74,88,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19,-1.48,1.57,-68.11,60.97,219.38,76,74,89,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,0.28,0.38,-72.52,77.14,65.94,79,79,95,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,-1.03,1.17,-3.85,99.61,144.97,74,72,87,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.23,-0.07,0.63,21.91,16.1,-100.1,72,71,84,25/06/2023 12:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
